Qty;Value;Device;Package;Parts;Description
5;;10-XX;B3F-10XX;S1, S2, S3, S4, S5;OMRON SWITCH
1;;LEDCHIP-LED0603;CHIP-LED0603;LED2;LED
4;;MMBT3904 ;SOT23;T1, T2, T3, T4;NPN Transistor
1;;MMFTP3401;SOT-23;T5;MOS FET
1;;PINHD-1X2;1X02;JP1;PIN HEADER
2;;R-EU_R0805;R0805;FE, FE1;FERRITE BEAD
1;;W237-103;W237-103;X1;WAGO SCREW CLAMP
2;;W237-4;W237-4;X2, X4;WAGO SCREW CLAMP
14;100n;C-EUC0603;C0603;C2, C5, C9, C13, C16, C17, C18, C19, C21, C22, C23, C24, C25, C26;CAPACITOR, European symbol
7;10k;R-EU_R0603;R0603;R1, R2, R3, R4, R5, R7, R15;RESISTOR, European symbol
1;10k;R-EU_R0805;R0805;R10;RESISTOR, European symbol
2;10n;C-EUC0603;C0603;C6, C11;CAPACITOR, European symbol
3;10u;C-EUC0805;C0805;C7, C12, C14;CAPACITOR, European symbol
1;1PS76SB10;1PS76SB10;SOD323(F);D1;TVS DIODE
7;1k;R-EU_R0603;R0603;R8, R13, R16, R17, R18, R19, R20;RESISTOR, European symbol
1;1k;R-EU_R1206;R1206;R9;RESISTOR, European symbol
4;1u;C-EUC0603;C0603;C3, C4, C10, C20;CAPACITOR, European symbol
1;3X2;3X2;2X3;U$3;
1;3k4;R-EU_R0603;R0603;R11;RESISTOR, European symbol
1;4.7u;EEEFK1H4R7RCAP_EEFK_B_PAN-M;CAP_EEFK_B_PAN-M;C1;
1;5.1V;DIODE-MINIMELF;MINIMELF;D2;ZENER DIODE
2;82r;R-EU_R1206;R1206;R12, R14;RESISTOR, European symbol
1;AZ1117H-3.3TRE1SOT-223_DIO-L;AZ1117H-3.3TRE1SOT-223_DIO-L;SOT-223_DIO-L;LDO;
1;CS4344-CZZ;CS4344-CZZ;CIR-TSSOP-10;U2;
1;ESP32-WROOM-32UE_(16MB);ESP32-WROOM-32UE_(16MB);IC38_ESP32-WROOM-32UE_(16MB)_E;U1;
1;JST-XH-04-PIN-LONG-PAD;JST-XH-04-PIN-LONG-PAD;JST-XH-04-PACKAGE-LONG-PAD;UART;JST XH Connector 2 Pin
1;LD3985M30R;LD3985M30R;SOT23-5L_STM;CR1;
1;MCP602SN;MCP602SN;SO08;IC1;Single Op Amp 2.7V to 6.0V Single Supply CMOS
4;MOUNT-PAD-ROUND3.2;MOUNT-PAD-ROUND3.2;3,2-PAD;H1, H2, H3, H4;MOUNTING PAD, round
1;TPPAD1-13;TPPAD1-13;P1-13;TP6;Test pad
1;TPSC336K010R0375;TPSC336K010R0375;TPSC336K010R0375_AVX;C8;33uF low ESR tantalum capacitor
